"","...1","2016","...3","1989"
"1",7.7,7.38259059217055e-05,6.9,2.52244652014181e-08
"2",8.2,0.000909054674610941,7.4,1.19802099732979e-06
"3",8.25,0.00114058620078849,7.45,1.71350177818901e-06
"4",8.3,0.00142483449280615,7.5,2.43827141796873e-06
"5",8.35,0.00177215194692618,7.55,3.45189732571266e-06
"6",8.4,0.00219452141703767,7.6,4.86197842908637e-06
"7",8.45,0.00270572216678223,7.65,6.81315948983891e-06
"8",8.5,0.00332149298706335,7.7,9.49872942199306e-06
"9",8.55,0.00405968728553777,7.75,1.31754363439438e-05
"10",8.6,0.00494041404381537,7.8,1.81822722326041e-05
"11",8.65000000000001,0.00598615765283778,7.85,2.4964112263981e-05
"12",8.70000000000001,0.00722186882016919,7.9,3.41012359693565e-05
"13",8.75000000000001,0.0086750180436507,7.95,4.63459055180183e-05
"14",8.80000000000001,0.0103756026177649,8,6.26673253119997e-05
"15",8.85000000000001,0.0123560978388568,8.05,8.43064491420783e-05
"16",8.90000000000001,0.0146513430604903,8.1,0.000112842226568434
"17",8.95000000000001,0.017298353576002,8.15,0.000150270976565674
"18",9.00000000000001,0.0203360500217267,8.2,0.000199100628759944
"19",9.05000000000001,0.0238048981425249,8.25,0.000262461563104674
"20",9.10000000000001,0.0277464533696736,8.3,0.000344235687504012
"21",9.15000000000001,0.0322028067422577,8.35,0.000449205197670451
"22",9.20000000000001,0.0372159312496797,8.4,0.000583222141175582
"23",9.25000000000001,0.0428269306551777,8.45,0.000753399434881359
"24",9.30000000000001,0.0490751962241902,8.5,0.00096832333968417
"25",9.35000000000002,0.055997480447406,8.55000000000001,0.00123828655978963
"26",9.40000000000002,0.0636269007114264,8.60000000000001,0.00157554009174015
"27",9.45000000000002,0.0719918898014804,8.65000000000001,0.00199456069482505
"28",9.50000000000002,0.0811151139713102,8.70000000000001,0.00251232939303342
"29",9.55000000000002,0.0910123829200041,8.75000000000001,0.00314861476567539
"30",9.60000000000002,0.101691579199247,8.80000000000001,0.00392625297052566
"31",9.65000000000002,0.113151637159894,8.85000000000001,0.00487141451823878
"32",9.70000000000002,0.125381603362757,8.90000000000001,0.00601384584679986
"33",9.75000000000002,0.138359811269031,8.95000000000001,0.00738707181601249
"34",9.80000000000002,0.152053202859412,9.00000000000001,0.00902854345924058
"35",9.85000000000002,0.166416828509507,9.05000000000001,0.0109797138143528
"36",9.90000000000002,0.181393553916017,9.10000000000001,0.0132860235429948
"37",9.95000000000002,0.19691399911479,9.15000000000001,0.0159967774801871
"38",10,0.212896729702244,9.20000000000002,0.019164893379667
"39",10.05,0.229248714365011,9.25000000000002,0.0228465050725192
"40",10.1,0.245866055892291,9.30000000000002,0.0271004041593387
"41",10.15,0.262634995196162,9.35000000000002,0.0319873073045313
"42",10.2,0.279433179746083,9.40000000000002,0.0375689402528255
"43",10.25,0.296131179520484,9.45000000000002,0.0439069348519947
"44",10.3,0.312594225399699,9.50000000000002,0.0510615415940203
"45",10.35,0.328684137191145,9.55000000000002,0.0590901673665327
"46",10.4,0.344261401505798,9.60000000000002,0.0680457560550852
"47",10.45,0.359187353792411,9.65000000000002,0.0779750381023211
"48",10.5,0.373326414246507,9.70000000000002,0.0889166837934021
"49",10.55,0.386548324261551,9.75000000000002,0.100899403520887
"50",10.6,0.398730328737797,9.80000000000002,0.113940046164092
"51",10.65,0.409759250000109,9.85000000000002,0.128041753548063
"52",10.7,0.419533401316192,9.90000000000003,0.14319223427074
"53",10.75,0.427964291992321,9.95000000000003,0.159362223568774
"54",10.8,0.434978081622321,10,0.176504196945413
"55",10.85,0.440516748076561,10.05,0.194551403695211
"56",10.9,0.444538941981363,10.1,0.213417282018658
"57",10.95,0.447020509448601,10.15,0.232995310037169
"58",11,0.447954674330702,10.2,0.253159336748569
"59",11.05,0.447351880941112,10.25,0.273764424009965
"60",11.1,0.445239307637467,10.3,0.294648215357036
"61",11.15,0.441660070572831,10.35,0.315632830371316
"62",11.2,0.436672144968968,10.4,0.336527265024751
"63",11.25,0.43034703818819,10.45,0.357130259702888
"64",11.3,0.422768254465015,10.5,0.37723357824419
"65",11.35,0.414029595255979,10.55,0.396625624173004
"66",11.4,0.404233341692043,10.6,0.415095305173625
"67",11.45,0.393488366556896,10.65,0.432436044518509
"68",11.5,0.381908222614153,10.7,0.448449829286556
"69",11.55,0.369609252074303,10.75,0.46295118030423
"70",11.6,0.356708758686042,10.8,0.475770928152471
"71",11.65,0.343323279555108,10.85,0.486759683443543
"72",11.7,0.329566988564783,10.9,0.49579089780868
"73",11.75,0.315550257441006,10.95,0.502763424360068
"74",11.8,0.30137839432199,11,0.507603502308848
"75",11.8500000000001,0.287150573401585,11.05,0.510266109266977
"76",11.9000000000001,0.272958963045588,11.1,0.510735645725669
"77",11.9500000000001,0.258888053934113,11.15,0.50902593837821
"78",12.0000000000001,0.245014183433205,11.2,0.505179571381858
"79",12.0500000000001,0.231405247681659,11.25,0.49926657637408
"80",12.1000000000001,0.21812058889285,11.3,0.491382532165952
"81",12.1500000000001,0.20521104217653,11.35,0.481646142720234
"82",12.2000000000001,0.192719123805116,11.4,0.470196376611105
"83",12.2500000000001,0.180679341272753,11.45,0.457189262151453
"84",12.3000000000001,0.169118604683272,11.5,0.442794439444761
"85",12.3500000000001,0.15805671889101,11.55,0.427191573650806
"86",12.4000000000001,0.147506936323639,11.6,0.410566732819928
"87",12.4500000000001,0.137476551442889,11.65,0.393108829001827
"88",12.5000000000001,0.127967519244994,11.7000000000001,0.375006213380867
